,n,m,c,tipoFrec,maxDist
579,10.0,10.0,22.0,2.0,10.0
580,10.0,10.0,22.0,2.0,10.0
581,10.0,10.0,22.0,2.0,10.0
582,10.0,10.0,22.0,2.0,10.0
583,10.0,10.0,22.0,2.0,10.0
584,10.0,10.0,22.0,2.0,10.0
585,10.0,10.0,22.0,2.0,10.0
586,10.0,10.0,22.0,2.0,10.0
587,10.0,10.0,22.0,2.0,10.0
588,10.0,10.0,22.0,2.0,10.0
589,10.0,10.0,22.0,2.0,10.0
590,10.0,10.0,22.0,2.0,10.0
591,10.0,10.0,22.0,2.0,10.0
592,10.0,10.0,22.0,2.0,10.0
593,10.0,10.0,22.0,2.0,10.0
594,10.0,10.0,22.0,2.0,10.0
595,10.0,10.0,22.0,2.0,10.0
596,10.0,10.0,22.0,2.0,10.0
597,10.0,10.0,22.0,2.0,10.0
598,10.0,10.0,22.0,2.0,10.0
599,10.0,10.0,22.0,2.0,10.0
600,10.0,10.0,21.0,3.0,10.0
601,10.0,10.0,21.0,3.0,10.0
602,10.0,10.0,21.0,3.0,10.0
603,10.0,10.0,21.0,3.0,10.0
604,10.0,10.0,21.0,3.0,10.0
605,10.0,10.0,21.0,3.0,10.0
606,10.0,10.0,21.0,3.0,10.0
607,10.0,10.0,21.0,3.0,10.0
608,10.0,10.0,21.0,3.0,10.0
609,10.0,10.0,21.0,3.0,10.0
610,10.0,10.0,21.0,3.0,10.0
611,10.0,10.0,21.0,3.0,10.0
612,10.0,10.0,21.0,3.0,10.0
613,10.0,10.0,21.0,3.0,10.0
614,10.0,10.0,21.0,3.0,10.0
615,10.0,10.0,21.0,3.0,10.0
616,10.0,10.0,21.0,3.0,10.0
617,10.0,10.0,21.0,3.0,10.0
618,10.0,10.0,21.0,3.0,10.0
619,10.0,10.0,21.0,3.0,10.0
620,10.0,10.0,21.0,3.0,10.0
621,10.0,10.0,21.0,3.0,10.0
622,10.0,10.0,21.0,3.0,10.0
623,10.0,10.0,21.0,3.0,10.0
624,10.0,10.0,21.0,3.0,10.0
625,10.0,10.0,21.0,3.0,10.0
626,10.0,10.0,21.0,3.0,10.0
627,10.0,10.0,21.0,3.0,10.0
628,10.0,10.0,21.0,3.0,10.0
629,10.0,10.0,21.0,3.0,10.0
630,10.0,10.0,21.0,3.0,10.0
631,10.0,10.0,21.0,3.0,10.0
