,n,m,c,tipoFrec,maxDist,maxDist%
237,10.0,300.0,4.0,3.0,222.0,26.0
238,10.0,300.0,4.0,3.0,221.0,26.33333333333333
239,10.0,300.0,4.0,3.0,223.0,25.66666666666667
240,10.0,300.0,4.0,3.0,237.0,21.0
241,10.0,300.0,4.0,3.0,226.0,24.66666666666667
242,10.0,300.0,4.0,3.0,237.0,21.0
243,10.0,300.0,4.0,3.0,227.0,24.33333333333333
244,10.0,300.0,4.0,3.0,234.0,22.0
245,10.0,300.0,4.0,3.0,230.0,23.33333333333333
246,10.0,300.0,4.0,3.0,233.0,22.33333333333333
247,10.0,300.0,4.0,3.0,226.0,24.66666666666667
248,10.0,300.0,4.0,3.0,225.0,25.0
249,10.0,300.0,4.0,3.0,230.0,23.33333333333333
250,10.0,300.0,4.0,3.0,226.0,24.66666666666667
251,10.0,300.0,4.0,3.0,224.0,25.33333333333333
252,10.0,300.0,4.0,3.0,222.0,26.0
253,10.0,300.0,4.0,3.0,234.0,22.0
254,10.0,300.0,4.0,3.0,224.0,25.33333333333333
255,10.0,300.0,4.0,3.0,225.0,25.0
256,10.0,300.0,4.0,3.0,236.0,21.33333333333333
257,10.0,300.0,4.0,3.0,218.0,27.33333333333333
258,10.0,300.0,4.0,3.0,230.0,23.33333333333333
259,10.0,300.0,4.0,3.0,230.0,23.33333333333333
260,10.0,300.0,4.0,3.0,225.0,25.0
261,10.0,300.0,4.0,3.0,216.0,28.0
262,10.0,300.0,4.0,3.0,226.0,24.66666666666667
263,10.0,300.0,4.0,3.0,230.0,23.33333333333333
264,10.0,300.0,4.0,3.0,232.0,22.66666666666667
265,10.0,300.0,4.0,3.0,228.0,24.0
266,10.0,300.0,4.0,3.0,232.0,22.66666666666667
267,10.0,300.0,4.0,3.0,229.0,23.66666666666667
268,10.0,300.0,4.0,3.0,226.0,24.66666666666667
269,10.0,300.0,4.0,3.0,229.0,23.66666666666667
270,10.0,500.0,4.0,1.0,313.0,37.4
271,10.0,500.0,4.0,1.0,316.0,36.8
272,10.0,500.0,4.0,1.0,323.0,35.400000000000006
273,10.0,500.0,4.0,1.0,321.0,35.8
274,10.0,500.0,4.0,1.0,327.0,34.599999999999994
275,10.0,500.0,4.0,1.0,320.0,36.0
276,10.0,500.0,4.0,1.0,322.0,35.599999999999994
277,10.0,500.0,4.0,1.0,324.0,35.2
278,10.0,500.0,4.0,1.0,320.0,36.0
279,10.0,500.0,4.0,1.0,319.0,36.2
280,10.0,500.0,4.0,1.0,334.0,33.2
281,10.0,500.0,4.0,1.0,315.0,37.0
282,10.0,500.0,4.0,1.0,324.0,35.2
283,10.0,500.0,4.0,1.0,308.0,38.4
284,10.0,500.0,4.0,1.0,314.0,37.2
285,10.0,500.0,4.0,1.0,321.0,35.8
286,10.0,500.0,4.0,1.0,314.0,37.2
287,10.0,500.0,4.0,1.0,326.0,34.8
288,10.0,500.0,4.0,1.0,322.0,35.599999999999994
289,10.0,500.0,4.0,1.0,313.0,37.4
290,10.0,500.0,4.0,1.0,316.0,36.8
291,10.0,500.0,4.0,1.0,317.0,36.6
292,10.0,500.0,4.0,1.0,313.0,37.4
293,10.0,500.0,4.0,1.0,316.0,36.8
294,10.0,500.0,4.0,1.0,325.0,35.0
295,10.0,500.0,4.0,1.0,323.0,35.400000000000006
296,10.0,500.0,4.0,1.0,324.0,35.2
297,10.0,500.0,4.0,1.0,315.0,37.0
298,10.0,500.0,4.0,1.0,309.0,38.2
299,10.0,500.0,4.0,1.0,320.0,36.0
300,10.0,500.0,4.0,1.0,317.0,36.6
301,10.0,500.0,4.0,1.0,332.0,33.599999999999994
302,10.0,500.0,4.0,1.0,312.0,37.6
303,10.0,500.0,4.0,1.0,317.0,36.6
304,10.0,500.0,4.0,1.0,316.0,36.8
305,10.0,500.0,4.0,1.0,313.0,37.4
306,10.0,500.0,4.0,1.0,316.0,36.8
307,10.0,500.0,4.0,1.0,314.0,37.2
308,10.0,500.0,4.0,1.0,325.0,35.0
309,10.0,500.0,4.0,1.0,314.0,37.2
310,10.0,500.0,4.0,1.0,319.0,36.2
311,10.0,500.0,4.0,1.0,314.0,37.2
312,10.0,500.0,4.0,1.0,322.0,35.599999999999994
313,10.0,500.0,4.0,1.0,319.0,36.2
314,10.0,500.0,4.0,1.0,323.0,35.400000000000006
315,10.0,500.0,4.0,1.0,319.0,36.2
316,10.0,500.0,4.0,1.0,312.0,37.6
317,10.0,500.0,4.0,1.0,327.0,34.599999999999994
318,10.0,500.0,4.0,1.0,314.0,37.2
319,10.0,500.0,4.0,1.0,324.0,35.2
320,10.0,500.0,4.0,1.0,318.0,36.4
321,10.0,500.0,4.0,1.0,310.0,38.0
322,10.0,500.0,4.0,1.0,321.0,35.8
323,10.0,500.0,4.0,1.0,323.0,35.400000000000006
324,10.0,500.0,4.0,1.0,312.0,37.6
325,10.0,500.0,4.0,1.0,317.0,36.6
326,10.0,500.0,4.0,1.0,314.0,37.2
327,10.0,500.0,4.0,1.0,314.0,37.2
328,10.0,500.0,4.0,1.0,319.0,36.2
329,10.0,500.0,4.0,1.0,315.0,37.0
330,10.0,500.0,4.0,1.0,329.0,34.2
331,10.0,500.0,4.0,1.0,314.0,37.2
332,10.0,500.0,4.0,1.0,316.0,36.8
333,10.0,500.0,4.0,1.0,313.0,37.4
334,10.0,500.0,4.0,1.0,314.0,37.2
335,10.0,500.0,4.0,1.0,314.0,37.2
336,10.0,500.0,4.0,1.0,311.0,37.8
337,10.0,500.0,4.0,1.0,309.0,38.2
338,10.0,500.0,4.0,1.0,322.0,35.599999999999994
339,10.0,500.0,4.0,1.0,315.0,37.0
340,10.0,500.0,4.0,1.0,321.0,35.8
341,10.0,500.0,4.0,1.0,324.0,35.2
342,10.0,500.0,4.0,1.0,318.0,36.4
343,10.0,500.0,4.0,1.0,316.0,36.8
344,10.0,500.0,4.0,1.0,315.0,37.0
345,10.0,500.0,4.0,1.0,323.0,35.400000000000006
346,10.0,500.0,4.0,1.0,316.0,36.8
347,10.0,500.0,4.0,1.0,320.0,36.0
348,10.0,500.0,4.0,1.0,318.0,36.4
